Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Riccardo Calafiori,it ITA,DF,Arsenal,22-102,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Dominic Calvert-Lewin,eng ENG,FW,Everton,27-166,1997,2,2,146,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,
Fabio Carvalho,pt POR,"MF,FW",Brentford,21-365,2002,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Casemiro,br BRA,MF,Manchester Utd,32-188,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.3,0,6,2,0.00,0.00,0.00,0.00,0.00,0.13,0.50,0.63,0.13,0.63,Matches,,,,,,,
Matty Cash,pl POL,DF,Aston Villa,27-022,1997,2,2,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,,,,,,,
Conor Chaplin,eng ENG,MF,Ipswich Town,27-195,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Chiquinho,pt POR,MF,Wolves,24-206,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches,,,,,,,
Ryan Christie,sct SCO,MF,Bournemouth,29-189,1995,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,8,4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,,,,,,,
Nathan Collins,ie IRL,DF,Brentford,23-121,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches,,,,,,,
Levi Colwill,eng ENG,DF,Chelsea,21-185,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Lewis Cook,eng ENG,MF,Bournemouth,27-208,1997,2,2,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,3,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,Matches,,,,,,,
Vladimír Coufal,cz CZE,DF,West Ham,32-007,1992,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,4,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches,,,,,,,
Aaron Cresswell,eng ENG,DF,West Ham,34-258,1989,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Marc Cucurella,es ESP,DF,Chelsea,26-038,1998,2,2,161,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Matheus Cunha,br BRA,"MF,FW",Wolves,25-094,1999,2,1,101,1.1,1,0,1,1,0,0,0,0,1.0,1.0,0.3,1.3,5,1,7,0.89,0.00,0.89,0.89,0.89,0.88,0.31,1.18,0.88,1.18,Matches,,,,,,,
Diogo Dalot,pt POR,DF,Manchester Utd,25-164,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,2,7,12,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.14,0.01,0.14,Matches,,,,,,,
Mikkel Damsgaard,dk DEN,MF,Brentford,24-057,2000,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Danilo,br BRA,MF,Nott'ham Forest,23-122,2001,1,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Leif Davis,eng ENG,DF,Ipswich Town,24-230,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Craig Dawson,eng ENG,DF,Wolves,34-115,1990,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Kevin De Bruyne,be BEL,MF,Manchester City,33-062,1991,2,2,179,2.0,1,1,2,1,0,0,0,0,0.9,0.9,0.7,1.6,8,21,8,0.50,0.50,1.01,0.50,1.01,0.44,0.37,0.82,0.44,0.82,Matches,,,,,,,
Liam Delap,eng ENG,FW,Ipswich Town,21-203,2003,2,2,155,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,,,,,,,
Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,25-358,1998,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Amad Diallo,ci CIV,FW,Manchester Utd,22-049,2002,2,2,149,1.7,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,7,5,18,0.60,0.00,0.60,0.60,0.60,0.20,0.07,0.27,0.20,0.27,Matches,,,,,,,
Rúben Dias,pt POR,DF,Manchester City,27-107,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Luis Díaz,co COL,FW,Liverpool,27-229,1997,2,2,161,1.8,1,1,2,1,0,0,0,0,1.2,1.2,1.0,2.2,12,6,18,0.56,0.56,1.12,0.56,1.12,0.66,0.55,1.21,0.66,1.21,Matches,,,,,,,
Tyler Dibling,eng ENG,MF,Southampton,18-170,2006,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,
Lucas Digne,fr FRA,DF,Aston Villa,31-040,1993,2,2,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,,,,,,,
Issa Diop,fr FRA,DF,Fulham,27-233,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Roman Dixon,,DF,Everton,19-247,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Matt Doherty,ie IRL,DF,Wolves,32-226,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,4,7,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches,,,,,,,
Jeremy Doku,be BEL,FW,Manchester City,22-094,2002,2,2,160,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,22,6,26,0.00,0.00,0.00,0.00,0.00,0.07,0.50,0.58,0.07,0.58,Matches,,,,,,,
Nicolás Domínguez,ar ARG,"FW,MF",Nott'ham Forest,26-062,1998,2,0,53,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,2,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.22,0.21,0.22,Matches,,,,,,,
Abdoulaye Doucouré,ml MLI,MF,Everton,31-241,1993,2,2,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,0,6,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches,,,,,,,
Cheick Doucouré,ml MLI,MF,Crystal Palace,24-234,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Flynn Downes,eng ENG,MF,Southampton,25-222,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,12,4,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches,,,,,,,
Tommy Doyle,eng ENG,MF,Wolves,22-317,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,1.19,1.19,0.00,1.19,Matches,,,,,,,
Lewis Dunk,eng ENG,DF,Brighton,32-282,1991,2,2,165,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,Matches,,,,,,,
Jhon Durán,co COL,FW,Aston Villa,20-260,2003,2,0,55,0.6,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,1,5,1.64,0.00,1.64,1.64,1.64,0.78,0.00,0.78,0.78,0.78,Matches,,,,,,,
